料理名,エネルギー,塩分,想定人数,材料,分量,手順
ナムル3種盛り,91kcal,2.6g,材料（4人分）,大豆もやし,140g,1ほうれん草は塩ゆでして５ｃｍ長さに切り、豆もやしは根を取り、サッとゆでる。
,,,,ほうれん草,3/4束（160g）,4器に（２）のほうれん草・豆もやし、（３）のぜんまいの汁気をきって盛り合わせ、ごま、糸唐がらしを散らす。
,,,,ぜんまいの水煮,200g
,,,,しょうゆ,大さじ2・1/2
,,,,砂糖,大さじ1
,,,,酢,大さじ1
,,,,すり白ごま,小さじ2
,,,,にんにく・みじん切り,小さじ1/2
,,,,粉唐がらし,少々
,,,,うま味調味料「味の素®」,少々
,,,,「AJINOMOTOごま油好きの純正ごま油」,少々
,,,,しょうゆ,大さじ1・1/2
,,,,砂糖,小さじ2
,,,,あさつき・みじん切り,小さじ2
,,,,すり白ごま,小さじ1・1/2
,,,,にんにく・みじん切り,小さじ1/3
,,,,粉唐がらし,少々
,,,,うま味調味料「味の素®」,少々
,,,,「AJINOMOTOごま油好きの純正ごま油」,小さじ2
,,,,いり白ごま,少々
,,,,糸唐がらし,少々
,,,,
