料理名,エネルギー,塩分,想定人数,材料,分量,手順
本格カレーピラフ      ,537 kcal,1.2 g,4人分,米,2・1/2カップ,1米は洗ってザルに上げ、３０分ほどおいて水気をきる（時間外）。
,,,,牛ひき肉,200g,2玉ねぎ、にんじんは７ｍｍ角の色紙切りにし、ピーマンは１ｃｍ角に切る。干しぶどうは湯通しをする。にんにくはみじん切りにする。
,,,,玉ねぎ,1/2個（100g）,3鍋にバターを溶かし、（２）のにんにく・玉ねぎ、ひき肉を炒め、肉の色が変わったら、（１）の米、（２）のピーマン・にんじんを加えてさらに炒める。
,,,,にんじん,1/3本,4米が透き通ってきたら、Ａを加えてサッと炒め、「コンソメ」、水を加え、普通に炊く。炊き上がったら、（２）の干しぶどうを加えて蒸らす。
,,,,ピーマン,1個（35g）,5器に盛り、パセリを散らす。
,,,,干しぶどう,大さじ2
,,,,にんにく,1/3かけ
,,,,バター,大さじ1
,,,,カレー粉,大さじ1・1/2
,,,,「瀬戸のほんじお」,少々
,,,,こしょう,少々
,,,,「味の素KKコンソメ」固形タイプ,1・1/2個
,,,,水,2・2/3カップ
,,,,パセリのみじん切り,小さじ1
,,,,
