701001,鶏レバー,300g
701001,酒,大さじ1
701001,しょうゆ,小さじ2
701001,「丸鶏がらスープ」,小さじ2
701001,片栗粉,大さじ2
701001,玉ねぎ,1個
701001,ゆでたけのこ,80g
701001,セロリ・大,1/2本
701001,ねぎ,1/2本
701001,にら,1/4束
701001,黄にら,1/4束
701001,しょうゆ,大さじ3
701001,酒,大さじ2
701001,砂糖,小さじ2
701001,「AJINOMOTOごま油好きの純正ごま油」,小さじ1・1/2
701001,うま味調味料「味の素®」,少々
701001,こしょう,少々
701001,「AJINOMOTO大豆の油健康プラス」,適量
701001,「AJINOMOTOごま油好きの純正ごま油」,少々
701002,木綿豆腐,1丁（300g）
701002,豚ひき肉,100g
701002,ねぎのみじん切り・大さじ2,20g
701002,しょうがのみじん切り,1かけ分
701002,にんにくのみじん切り,1かけ分
701002,「AJINOMOTOサラダ油」,大さじ2
701002,「CookDo」熟成豆板醤,小さじ1（5g）
701002,酒,大さじ1
701002,しょうゆ,大さじ1
701002,砂糖,小さじ2
701002,「CookDo」甜麺醤,小さじ2（10g）
701002,「丸鶏がらスープ」,小さじ1
701002,水,2/3カップ
701002,片栗粉,大さじ1
701002,水,大さじ1
701002,「AJINOMOTOごま油好きの純正ごま油」,小さじ1/2
701002,香菜,少々
701003,卵,3個
701003,かに缶,1缶
701003,ゆでたけのこ,30g
701003,長ねぎ,1/3本分（20g）
701003,しいたけ,2枚
701003,「CookDo香味ペースト」,12cm（8.5g）
701003,「AJINOMOTOサラダ油」,大さじ2
701003,小ねぎの小口切り,適量
701004,鶏骨つきもも肉,500g
701004,ねぎ,10cm
701004,おろしにんにく,1かけ分
701004,おろししょうが,2/3かけ分
701004,しょうゆ,大さじ2
701004,酒,大さじ1
701004,砂糖,小さじ2
701004,うま味調味料「味の素®」,少々
701004,片栗粉,大さじ5
701004,にんにくの薄切り,適量
701004,「AJINOMOTO大豆の油健康プラス」,適量
701004,香菜,適量
701004,サラダ菜,適量
701005,むきえび（大）,350g
701005,玉ねぎ,1/4個（50g）
701005,サンドイッチ用食パン,6枚
701005,酒,大さじ1
701005,「瀬戸のほんじお」,小さじ1
