ID,手順番号,手順内容
10002001,1,大豆もやしは洗った後ぬれたまま、耐熱容器にのせてラップをかけ、レンジ（６００Ｗ）で約３分加熱し、水気をきる。
10002001,2,にんじんは皮をむき、短冊切りにする。いんげんは筋をとる。
10002001,3,木綿豆腐は水きりをする。
10002001,4,ボウルに③を入れてフォークなどでつぶし、①と②を加えてドレッシングで和え、塩で味をととのえる。
10002004,1,ピーマンは薄い輪切りにする。
10002004,2,サラダチキンは食べやすい大きさにさく。
10002004,3,ボウルに①と②を入れ、ドレッシングで和える。
10002010,1,ピーマンは食べやすい大きさに切る。
10002010,2,豚肉は食べやすい大きさに切ってボウルに入れ、ドレッシング大さじ２をからめておく。
10002010,3,ミニトマトは半分に切る。
10002010,4,フライパンに油をひいて熱し、②、①の順に炒める。
10002011,1,ピーマンは１ｃｍ幅の細切りにする。
10002011,2,鶏むね肉は１ｃｍの拍子木切りにし、片栗粉をまぶす。
10002011,3,フライパンに油をひいて熱し、②を焼く。
10002014,1,きゅうりとサラダチキンは１ｃｍの角切りにする。
10002014,2,ボウルに①とミックスビーンズを加え、マヨネーズで和える。
10002015,1,玉ねぎは薄切りにし、水にさらして水気をきる。　　
10002015,2,ボウルに①とミックスビーンズを加え、マヨネーズで和える。
10002018,1,キャベツは細切りにする。　
10002018,2,ボウルに①、汁気をきったツナ、ミックスビーンズを入れ、マヨネーズで和える。
10002019,1,ブロッコリーは小房に分け、塩を加えた熱湯でゆでて水気をきる。
10002019,2,ゆで卵は１．５ｃｍの角切りにする。
10002019,3,ボウルに①、②、ミックスビーンズ、ブラックオリーブを入れ、マヨネーズで和える。
10002020,1,ひじきは水で戻して、さっとゆでる。
10002020,2,にんじんは皮をむいて短冊切りにし、ぬらしたクッキングペーパーで包んで耐熱容器にのせ、
10002020,3,ボウルに①、②、ミックスビーンズを入れ、マヨネーズで和える。
10002022,1,玉ねぎはみじん切りにし、水にさらして水気をきる。　
10002022,2,ボウルにAを入れて混ぜ、①、コーン、ミックスビーンズを加えて全体を和える。
10002032,1,トマト、黄パプリカ、アボカド、まぐろは１．５cmの角切りにする。
10002032,2,リーフレタスは冷水にさらして水気をきり、食べやすい大きさにちぎる。
10002032,3,器に②を敷き、①を盛りつけ、ミックスビーンズを散らし、ドレッシングをかける。
10002035,1,きゅうり、黄パプリカは１ｃｍの角切りにする。
10002035,2,ボウルに①とガルバンゾを入れ、Ａで和える。
10002036,1,ひじきは水でもどして水気をきる。
10002036,2,にんじんは皮をむき、長さ３cmの細切りにする。
10002036,3,鍋に油をひいて熱し、①と②を入れて炒め、Aと和豆ミックスを加えて弱火で約１０分煮る。
10002037,1,新玉ねぎは薄切りにする。
10002037,2,レタスは冷水にさらして水気をきり、食べやすい大きさにちぎる。
10002037,3,器に２を敷き、かつおのたたきを盛りつけ、１をのせ、小口切りにした小ねぎを散らし、ドレッシングをかける。
10002038,1,グリーンアスパラガスはピーラーで下半分の皮をむいて長さ３ｃｍに切る。
10002038,2,玉ねぎは５ｍｍの角切りにし、水にさらして水気をきる。　　
10002038,3,鶏ささみは筋を取って耐熱容器に並べ、塩・酒をしてラップをかけ、レンジ（６００Ｗ）で約１分３０秒加熱する。粗熱がとれたら大きめにさく。
10002038,4,ボウルに①～③、和豆ミックスを入れ、ドレッシングで和える。
10002039,1,オクラは塩をまぶして板ずりし、水で洗い、長さ２ｃｍの斜め切りにする。
10002039,2,みょうがはせん切りにする。
10002039,3,①をぬらしたクッキングペーパーで包んで耐熱容器にのせ、
10002039,4,ボウルに②、③、和豆ミックスを入れ、ドレッシングで和える。
10002040,1,ブロッコリーは小房に分ける。
10002040,2,ミニトマトは半分に切る。
10002040,3,にんにくはみじん切りにする。
10002040,4,スパゲッティは、塩を加えた熱湯で、袋の表示より１分短くゆでる。
10002040,5,フライパンにオリーブ油をひいて熱し、③を入れ、香りがたったら、
10002041,1,まいたけは小房に分ける。
10002041,2,りんごは皮つきのまま、１．５ｃｍの角切りにする。
10002041,3,鶏むね肉はひと口大に切り、塩・こしょうをして、フライパンに油をひいて熱し、こんがり焼く。
10002041,4,器にベビーリーフを敷き、②、③、ミックスビーンズ盛りつけ、ドレッシングをかける。
10002042,1,キャベツは５ｍｍの細切りにする。　
10002042,2,ボウルに①、汁気をきったツナ、和豆ミックスを入れ、ドレッシングで和える。
10002044,1,エリンギは長さ半分に切り、さらに縦半分に切り１ｃｍ幅に切る。
10002044,2,フライパンに油をひいて熱し、①を焼く。
10002044,3,リーフレタスは冷水にさらして水気をきり、食べやすい大きさにちぎる。
10002044,4,白ぶどうは皮つきのまま、半分切る。
10002044,5,器に③を敷き、②と④を盛りつけ、ミックスビーンズを散らし、ドレッシングをかける。
10002049,1,トマトときゅうりは１．５ｃｍの角切り、新たまねぎは１ｃｍの角切りにする。
10002049,2,器に①を盛りつけ、ドレッシングをかける。
